-70.152,-65.557,126.05,131.15,-16.422,-18.587,-83.601,-77.778,1.1204,1.7901,1.6079,0.38521,536.71,950.75,470.98,112.12,2495,4425.7,523.75,519.43,4169.6,2099,0.74744,648.82,73.134,182.39,-43.383,-46.96,4.284,2.9594,2258.1,1139.6,-56.859
-75.083,-66.323,129.78,116.53,-12.416,8.166,-82.724,-85.746,0.23631,1.968,1.2128,0.3655,594.06,487.6,309.93,89.657,3995.4,3678.7,106.34,233.08,4084.8,1032.9,0.11922,246.22,363.2,121.55,-53.61,-45.36,4.266,5.1212,8992.9,385.28,-71.569
-71.915,-76.042,105.51,149,-9.0033,-10.326,-87.476,-82.275,0.29348,1.8455,1.9915,0.35259,841.18,859.7,451.66,84.79,2194,4752.2,699.6,515.95,3668.7,1033,0.34501,780.67,355.24,424.78,-52.279,-48.592,4.9083,3.6979,6024.9,1115.6,-71.877
-78.549,-76.432,126.46,145.13,-10.722,6.3858,-84.666,-83.481,1.7299,1.5275,1.7976,0.81632,989.31,728.78,249.88,112.91,2509.5,3401.1,742.06,770.87,4208,1452.3,0.33835,754.34,149.33,51.599,-40.604,-53.12,6.1417,2.7247,4662.4,2693.2,-62.223
-62.822,-71.634,48.686,143.21,-5.7406,-14.169,-77.014,-87.58,0.32694,1.3505,1.3704,0.98025,826.47,906.57,446.06,85.636,2008.4,4750,582.01,385.87,2031,1099.4,0.31505,218,67.222,233.78,-42.869,-42.052,6.7898,4.0164,2288.9,212,-58.604
-67.265,-76.182,81.979,65.665,-18.154,-4.9348,-85.493,-88.833,0.11884,0.2711,1.8885,0.28057,359.89,897.73,310.45,96.192,3639.7,3869.3,514.24,548.39,3591.9,2005.9,0.28265,673.72,87.005,176.3,-48.925,-49.717,6.7627,6.9368,8924.6,2025,-61.278
-63.677,-74.307,53.688,117.42,1.5068,-1.2171,-87.907,-85.931,0.10831,1.3641,1.4293,0.10257,656.33,800.05,389.73,87.991,2603.2,3811.6,224.58,591.88,3505.2,1247.4,0.84744,234.51,81.612,52.578,-53.577,-42.697,4.6999,4.6956,5975.4,8684.6,-66.274
-64.451,-78.21,122.52,126.89,-10.018,-10.04,-83.947,-87.552,0.36844,1.2134,1.5182,0.24242,133.46,257.09,485.09,111.17,2678.1,4575.8,373.09,626.57,3060.9,2081.2,0.8026,901.1,58.463,312.88,-41.437,-49.024,2.2834,3.9589,2117.7,98.487,-48.905
-62.038,-64.99,133.08,96.501,-5.4389,-7.6872,-79.655,-85.636,0.46193,0.90863,0.86035,0.19125,939.65,717.38,469.46,106.88,4570.7,4176.1,505.21,523.02,2966.6,1141.5,0.21252,481.67,83.887,363.52,-43.611,-40.45,4.3683,4.8866,8041.4,530.95,-54.966
-74.179,-62.177,81.961,143.39,-16.256,-8.6829,-78.006,-79.48,0.3274,0.47183,0.77945,0.98994,125.36,627.14,210.53,129.72,2786.6,2802,551.59,288.92,2149.5,2448.7,0.96933,743.94,222.71,122.3,-51.129,-51.109,4.4783,4.8342,4804.5,2642.8,-65.452
-72.293,-67.261,32.209,92.26,7.2583,9.8357,-80.697,-76.674,0.29835,1.1465,1.2615,0.20143,122.68,982.51,293.1,111.4,4202.4,3602.9,443.71,386.43,3228,2956.9,0.6089,116.12,66.433,393.29,-44.522,-43.086,4.7068,2.9644,2250.6,4363.4,-59.661
-79.078,-74.426,129.02,77.34,-16.855,-0.60817,-86.897,-80.248,0.32204,0.98323,1.7386,0.64509,595.98,930.15,69.449,61.29,2277.8,2503.1,203.01,504.47,4967.6,1347.6,0.94826,984.15,272.8,142.84,-47.867,-47.732,6.786,3.9343,204.95,3041.8,-68.424

